              --------------              


ide = 22,  N = 10000,  L = 46.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 1.0,  A = 3.0,  integrator = langevin,  
              --------------              
kin temp = 0.09180970992895858, E_P/N = 0.07982000951279515
kin temp = 0.02376393656147581, E_P/N = 0.024411370370869226
kin temp = 0.012135231912753112, E_P/N = 0.011592317394672603
kin temp = 0.00986622638403003, E_P/N = 0.006512975870127203
kin temp = 0.009437749385059953, E_P/N = 0.004145392090882581
kin temp = 0.00946106800755684, E_P/N = 0.0029804669037953486
kin temp = 0.009591970959661245, E_P/N = 0.002358463209635869
kin temp = 0.00973585242788828, E_P/N = 0.0019829754591157334
kin temp = 4.346510107394335e-05, E_P/N = 0.0016444822505127898
kin temp = 0.0005257238856495614, E_P/N = 0.0009188457955024834
1381.9804327487946
