              --------------              


ide = 27,  N = 10000,  L = 32.0,  

steps = 10000000,  block_size = 1000,  dt = 0.01,  

gamma = 10.0,  A = 3.0,  integrator = dpd,  
              --------------              
kin temp = 0.15039456244196334, E_P/N = 0.32068516236108874
kin temp = 0.19611837800697304, E_P/N = 0.2662932796955426
kin temp = 0.25986963003716773, E_P/N = 0.2563632137943853
kin temp = 0.34371703676942433, E_P/N = 0.27657454692180355
kin temp = 0.0, E_P/N = 0.2442368177657272
kin temp = 0.006770488939527677, E_P/N = 0.21385077434573532
kin temp = 0.0, E_P/N = 0.18430912343775832
kin temp = 0.010898160214216537, E_P/N = 0.1685209244800857
kin temp = 0.06399415332508027, E_P/N = 0.1571372154509156
kin temp = 0.01575974931522271, E_P/N = 0.14585099989151545
1849.5299849510193
